source_id,source_ref,doi_or_url,data_extraction,data_type,fiber_type,resin_type,fiber_grade,manufacturing_method,fabric_type,fiber_volume_pct,CNT_vol_frac_pct,interlayer_vol_frac_pct,manufacturing_pressure_psi,Tg_dry_C,Tg_wet_C,layup_code,pct_0_plies,pct_45_plies,pct_90_plies,num_plies,thickness_mm,test_type,test_standard,environment,env_code,temperature_C,moisture_condition,moisture_code,tensile_strength_MPa,tensile_modulus_GPa,compressive_strength_MPa,compressive_modulus_GPa,flexural_strength_MPa,flexural_modulus_GPa,shear_strength_MPa,GIIc_Jm2,reported_CV_pct,reported_std_MPa,strength_MPa,modulus_GPa,fiber_rank,fiber_tensile_modulus_GPa,fiber_tensile_strength_MPa,fiber_density_gcc,manufacturing_code,layup_class,layup_code_num,E_L_ROM_GPa,E_T_HT_GPa,orientation_efficiency,sigma_L_ROM_MPa,thermal_knockdown,effective_Vf_pct,mfg_quality_index,anisotropy_proxy,cnt_il_synergy,zero_ply_contribution,composite_density_gcc,sigma_L_specific
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]6,100.0,0.0,0.0,,,Longitudinal_Tension,ASTM D3039,CTD,0,-53.9,Dry,0,2500.655000758422,158.51018353810724,,,,,,,,,2500.655000758422,158.51018353810724,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,-0.2603864734299517,58.54,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]6,100.0,0.0,0.0,,,Longitudinal_Tension,ASTM D3039,RTD,1,21.1,Dry,0,2464.1128531833037,155.61439071139978,,,,,,,,,2464.1128531833037,155.61439071139978,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,0.10193236714975847,58.54,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]6,100.0,0.0,0.0,,,Longitudinal_Tension,ASTM D3039,ETW,3,121.1,Wet,1,2299.397399302252,165.4738758118562,,,,,,,,,2299.397399302252,165.4738758118562,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,0.585024154589372,58.04,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[90]11,0.0,0.0,100.0,,,Transverse_Tension,ASTM D3039,CTD,0,-53.9,Dry,0,64.05217942883934,8.96316827314221,,,,,,,,,64.05217942883934,8.96316827314221,7,276,5516,1.78,1,UD_90deg,2,163.0215,17.064918184137326,1.4057996285562142e-65,3258.0884,-0.2603864734299517,58.54,5.0,9.553019723911506,0.0,0.0,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[90]11,0.0,0.0,100.0,,,Transverse_Tension,ASTM D3039,RTD,1,21.1,Dry,0,66.18955032474248,10.066327445221251,,,,,,,,,66.18955032474248,10.066327445221251,7,276,5516,1.78,1,UD_90deg,2,163.0215,17.064918184137326,1.4057996285562142e-65,3258.0884,0.10193236714975847,58.54,5.0,9.553019723911506,0.0,0.0,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[90]11,0.0,0.0,100.0,,,Transverse_Tension,ASTM D3039,ETW,3,121.1,Wet,1,24.06265944097409,5.584743308650147,,,,,,,,,24.06265944097409,5.584743308650147,7,276,5516,1.78,1,UD_90deg,2,163.0215,17.064918184137326,1.4057996285562142e-65,3258.0884,0.585024154589372,58.04,5.0,9.553019723911506,0.0,0.0,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]14,100.0,0.0,0.0,,,Longitudinal_Compression,ASTM D6641,CTD,0,-53.9,Dry,0,,,2044.2228933107185,142.58332299121608,,,,,,,2044.2228933107185,142.58332299121608,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,-0.2603864734299517,58.54,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]14,100.0,0.0,0.0,,,Longitudinal_Compression,ASTM D6641,RTD,1,21.1,Dry,0,,,1716.3777768584785,138.17068630289992,,,,,,,1716.3777768584785,138.17068630289992,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,0.10193236714975847,58.54,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]14,100.0,0.0,0.0,,,Longitudinal_Compression,ASTM D6641,ETD,2,121.1,Dry,0,,,1392.2558226120052,139.61858271625368,,,,,,,1392.2558226120052,139.61858271625368,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,0.585024154589372,58.54,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
S1,"NCAMP, CAM-RP-2009-015 Rev A. NIAR, Wichita State Univ., 2011.",https://www.wichita.edu/NIAR/ncamp,Table 2-1 & 2-2 B-basis lamina/laminate design values,Mean_value,IM7,Hexcel 8552 Epoxy,Aerospace Qualification,Autoclave,Unidirectional (UD),58.54,0.0,0.0,100.0,207.0,160.2,[0]14,100.0,0.0,0.0,,,Longitudinal_Compression,ASTM D6641,ETW,3,121.1,Wet,1,,,1192.7908548104635,140.44595209531295,,,,,,,1192.7908548104635,140.44595209531295,7,276,5516,1.78,1,UD_0deg,1,163.0215,17.064918184137326,1.0,3258.0884,0.585024154589372,58.04,5.0,9.553019723911506,0.0,3258.0884,1.5602620000000003,2088.1675000737055
