Model,R2,RMSE,MAE,MAPE%,Bias,CV_R2
RF,0.7282,280.64,155.18,65.68,56.87,0.5865
ET,0.8553,204.8,111.92,60.03,10.05,0.6329
GBM,0.9336,138.72,74.24,28.14,21.02,0.8807
SVR,0.031,529.91,328.02,142.27,114.82,0.0973
DL1,-1.5852,865.54,676.0,88.43,675.92,-1.6051
DL2,-0.3403,623.22,339.67,160.96,48.22,-1.5132
DL3,-0.6484,691.15,475.02,122.75,355.63,-2.5311
DL4,-0.0484,551.2,298.41,158.87,-14.89,-1.5092
DL5,-0.6189,684.94,461.97,115.71,350.93,-1.8586
PINN1,-1.7236,888.41,706.79,99.9,706.79,0.0
PINN2,-1.7242,888.5,706.86,100.0,706.86,0.0
STACK,0.87,194.06,152.21,57.1,-101.02,0.8683
